post_id,title,url,valid_dcv5,fallback,fallback_dcv5_view,hero,quick_strip,work_summary,sidecard,bad_fish_text,bad_cheese_text,bad_qmarks,bad_internal,result
2526,"Caillín Báin (Bieli spek - Irska verzija slanine sa začinima)",https://drycured.com/recepti-baza/caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2527,"Marrowbone Roll (Rolana kobasica s koštanom srži)",https://drycured.com/recepti-baza/marrowbone-roll-rolana-kobasica-s-kostanom-srzi/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2529,"Irski soljena govedina (Corned Beef)",https://drycured.com/recepti-baza/irski-soljena-govedina-corned-beef/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2530,"Irska šunka u pivu (Beer-Cured Ham)",https://drycured.com/recepti-baza/irska-sunka-u-pivu-beer-cured-ham/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2533,"Bjúgu (Islandska dimljena kobasica)",https://drycured.com/recepti-baza/bjugu-islandska-dimljena-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2540,"Hrútspungar (Prešana janjeća muda)",https://drycured.com/recepti-baza/hrutspungar-presana-janjeca-muda/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2543,"Lundabaggar (Dimljena prskalina od janjetine)",https://drycured.com/recepti-baza/lundabaggar-dimljena-prskalina-od-janjetine/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2544,"Moldavska Cârnaţi de Oaie (Kobasica od Ovčetine)",https://drycured.com/recepti-baza/moldavska-carnati-de-oaie-kobasica-od-ovcetine/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2545,"Estonska Suitsusink (Dimljena Šunka)",https://drycured.com/recepti-baza/estonska-suitsusink-dimljena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2546,"Sudžuk (Sudžuk Kosovar)",https://drycured.com/recepti-baza/sudzuk-sudzuk-kosovar/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2549,"Suxhuk me Spec (Sudžuk s paprikom)",https://drycured.com/recepti-baza/suxhuk-me-spec-sudzuk-s-paprikom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2552,"Otočac Začinski Vrat s Planine (Mountainski naresak)",https://drycured.com/recepti-baza/otocac-zacinski-vrat-s-planine-mountainski-naresak/,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,OK_DCV5_NOT_TOUCHED
2553,"Skilandis (litavska dimljena kobasica)",https://drycured.com/recepti-baza/skilandis-litavska-dimljena-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2554,"Kindziukas (litavska dimljena šunka)",https://drycured.com/recepti-baza/kindziukas-litavska-dimljena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2555,"Lašiniai (litavska slanina)",https://drycured.com/recepti-baza/lasiniai-litavska-slanina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2556,"Vytinta dešra (litavska suha kobasica)",https://drycured.com/recepti-baza/vytinta-desra-litavska-suha-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2557,"Rūkyti lašišos (dimljen losos na litavski način)",https://drycured.com/recepti-baza/rukyti-lasisos-dimljen-losos-na-litavski-nacin/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2558,"Pounje Planinski Vrtlog",https://drycured.com/recepti-baza/pounje-planinski-vrtlog/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2560,"Drežnički Šušanj",https://drycured.com/recepti-baza/dreznicki-susanj/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2561,"Gospićki Vjetar",https://drycured.com/recepti-baza/gospicki-vjetar/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2563,"Maltežanska kobasica (Zalzett Malti)",https://drycured.com/recepti-baza/maltezanska-kobasica-zalzett-malti/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2564,"Maltežanski pršut (Prosciutto Malti)",https://drycured.com/recepti-baza/maltezanski-prsut-prosciutto-malti/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2565,"Maltežanska suha govedina (Carne Secca Maltija)",https://drycured.com/recepti-baza/maltezanska-suha-govedina-carne-secca-maltija/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2571,"Zaprešićki Vrganjevi Narezak",https://drycured.com/recepti-baza/zapresicki-vrganjevi-narezak/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2572,"Medžimurski Divljač Narezak",https://drycured.com/recepti-baza/medzimurski-divljac-narezak/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2573,"Gornjomurečki Začinski Narezak",https://drycured.com/recepti-baza/gornjomurecki-zacinski-narezak/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2574,"ȘUNCĂ AFUMATĂ (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/sunca-afumata-dimljena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2575,"PASTRAMĂ DE OAIE (OVČJA PASTRAMA)",https://drycured.com/recepti-baza/pastrama-de-oaie-ovcja-pastrama/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2576,"CÂRNAȚ AFUMAT (DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/carnat-afumat-dimljene-kobasice/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2577,"Droge Worst (Suha kobasica)",https://drycured.com/recepti-baza/droge-worst-suha-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2579,"Spekdikken (Slanina s medom)",https://drycured.com/recepti-baza/spekdikken-slanina-s-medom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2587,"VOSSAKORV (TRADICIONALNA DIMLJENA KOBASICA IZ VOSSA)",https://drycured.com/recepti-baza/vossakorv-tradicionalna-dimljena-kobasica-iz-vossa/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2589,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",https://drycured.com/recepti-baza/spekelar-susena-i-dimljena-jelen-srnetina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2594,"GRAVET LAKS (GRAVLAKS - MARINIRANI LOSOS)",https://drycured.com/recepti-baza/gravet-laks-gravlaks-marinirani-losos/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2597,"FENALÅR (SUŠENI BUT JANJETA)",https://drycured.com/recepti-baza/fenalar-suseni-but-janjeta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2598,"SPEKESKINKE (NORŠKA PRŠUTA)",https://drycured.com/recepti-baza/spekeskinke-norska-prsuta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2600,"MORR (NORVEŠKA KOBASICA)",https://drycured.com/recepti-baza/morr-norveska-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2603,"Vinkovački Aromatični Začinski Špek",https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2604,"Osiječki Ljuti Začinski Vrat s Divljim Travkama",https://drycured.com/recepti-baza/osijecki-ljuti-zacinski-vrat-s-divljim-travkama/,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,OK_DCV5_NOT_TOUCHED
2606,"Požeški Aromatični Sušeni Vrat s Divljim Travkama",https://drycured.com/recepti-baza/pozeski-aromaticni-suseni-vrat-s-divljim-travkama/,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,OK_DCV5_NOT_TOUCHED
2608,"Kuru Et (Suho meso sa smrekom)",https://drycured.com/recepti-baza/kuru-et-suho-meso-sa-smrekom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2610,"Tulum Peyniri Dolgulu Et (Meso punjeno sirom)",https://drycured.com/recepti-baza/tulum-peyniri-dolgulu-et-meso-punjeno-sirom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2614,"Virovski Čvarci",https://drycured.com/recepti-baza/virovski-cvarci/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2616,"BALERON (POLJSKA DIMLJENA VRATINA)",https://drycured.com/recepti-baza/baleron-poljska-dimljena-vratina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2620,"SZYNKA WĘDZONA (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/szynka-wedzona-dimljena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2621,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",https://drycured.com/recepti-baza/boczek-wedzony-dimljena-slanina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2622,"Chouriço Tradicional Português (Tradicionalna portugalska kobasica)",https://drycured.com/recepti-baza/chourico-tradicional-portugues-tradicionalna-portugalska-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2623,"Presunto Português (Portugalska pršuta)",https://drycured.com/recepti-baza/presunto-portugues-portugalska-prsuta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2624,"Paio Alentejano (Alentejanska kobasica)",https://drycured.com/recepti-baza/paio-alentejano-alentejanska-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2625,"Farinheira Alentejana (Kobasica s brašnom iz Alenteja)",https://drycured.com/recepti-baza/farinheira-alentejana-kobasica-s-brasnom-iz-alenteja/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2627,"Chouriço de Vinho (Kobasica s Vinom)",https://drycured.com/recepti-baza/chourico-de-vinho-kobasica-s-vinom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2628,"Paio do Alentejo (Alentejo Dimljena Kobasica)",https://drycured.com/recepti-baza/paio-do-alentejo-alentejo-dimljena-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2629,"Alheira de Mirandela (Kobasica iz Mirandele)",https://drycured.com/recepti-baza/alheira-de-mirandela-kobasica-iz-mirandele/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2631,"Rovinjska Kobasica",https://drycured.com/recepti-baza/rovinjska-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2632,"Krčki Sir-Kobasica",https://drycured.com/recepti-baza/krcki-sir-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2633,"Senjska Šunka",https://drycured.com/recepti-baza/senjska-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2637,"Tradicionalni Thüringer Schinken (Tirinška šunka)",https://drycured.com/recepti-baza/tradicionalni-thuringer-schinken-tirinska-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
