post_id,title,url,code,country,category,process,tech_group,readiness,source_chars,has_10kg,has_sastojci,has_postupak,has_granulation_or_cut,has_casing,has_pac_salt,has_drying_smoking_maturation,has_garlic,has_errors_solutions,has_storage_serving
2111,"LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,MD-LANDJAGER_TRADICIONALNE_DIMLJENE_KOBASICE,Švicarska,"Suha kobasica","dimljenje + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4138,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2113,"VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM)",https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,MD-VACHERIN_FRIBOURGEOIS_METTWURST_DIMLJENA_KOBASICA_S_ALPSKIM_SIROM,Švicarska,"Suha kobasica","dimljenje + sušenje",SCOPE_REVIEW_CHEESE,SCOPE_REVIEW_BEFORE_MIGRATION,4251,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2115,"BRESAOLA DELLA VALTELLINA",https://drycured.com/recepti-baza/bresaola-della-valtellina/,MD-BRESAOLA_DELLA_VALTELLINA,Italija,"Sušeni cijeli komad","soljenje + sušenje + zrenje",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3511,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2116,"COPPA PIACENTINA",https://drycured.com/recepti-baza/coppa-piacentina/,MD-COPPA_PIACENTINA,Italija,"coppa | sušeni svinjski vrat","soljenje + zrenje",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3777,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2353,"Pastërma (Albansko suho meso)",https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,MD-PASTERMA_ALBANSKO_SUHO_MESO,Albanija,"Sušeni cijeli komad","soljeno | Sušeno",OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3504,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2355,"Proshuta Shqiptare – albanska pršuta",https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,Albanija,"Pršut | sušena šunka","suho soljeno | Sušeno | zreno",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3494,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2359,"Vorarlberger Mostbröckle – vorarlberška dimljena govedina",https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,MD-VORARLBERGER_MOSTBROCKLE_VORARLBERSKA_DIMLJENA_GOVEDINA,Austrija,"Sušeni dimljeni cijeli komad","Dimljeno | soljeno | Sušeno | zreno",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3466,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2398,"Traditionele Droge Worst (Klasična suha kobasica)",https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,Hrvatska,"Suha kobasica",sušenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4004,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2399,"Rookworst (Dimljena kobasica)",https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,MD-ROOKWORST_DIMLJENA_KOBASICA,Nizozemska,"Suha kobasica","dimljenje + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3958,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2428,"Durmitorska kastradina",https://drycured.com/recepti-baza/durmitorska-kastradina/,MD-DURMITORSKA_KASTRADINA,"Crna Gora","Pršut | sušena šunka","Dimljeno | Sušeno",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3504,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2430,"Vasojevićka preukuša",https://drycured.com/recepti-baza/vasojevicka-preukusa/,MD-VASOJEVICKA_PREUKUSA,Hrvatska,"Suha kobasica",sušenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4092,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2432,"Kučka pršura",https://drycured.com/recepti-baza/kucka-prsura/,MD-KUCKA_PRSURA,Hrvatska,"suhomesnati proizvod",sušenje,OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3730,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2434,"Crnogorska kobasica",https://drycured.com/recepti-baza/crnogorska-kobasica/,MD-CRNOGORSKA_KOBASICA,"Crna Gora","Suha kobasica",sušenje,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3959,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2435,"Crnogorska stelja",https://drycured.com/recepti-baza/crnogorska-stelja/,MD-CRNOGORSKA_STELJA,"Crna Gora","suhomesnati proizvod",sušenje,WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3453,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2440,"Splitski Maestral Narezak",https://drycured.com/recepti-baza/splitski-maestral-narezak/,MD-SPLITSKI_MAESTRAL_NAREZAK,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3485,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2441,"Trogirski Zephyr",https://drycured.com/recepti-baza/trogirski-zephyr/,MD-TROGIRSKI_ZEPHYR,Irska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3442,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
