source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 19. svi 2026. 16_01_05.png"	chatgpt-image-19-svi-2026-16-01-05	2144471	224666	37928	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-01-05.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-01-05.webp
"ChatGPT Image 19. svi 2026. 16_35_36.png"	chatgpt-image-19-svi-2026-16-35-36	2045485	214428	35070	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-35-36.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-35-36.webp
"ChatGPT Image 19. svi 2026. 16_35_11.png"	chatgpt-image-19-svi-2026-16-35-11	1937493	184212	33866	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-35-11.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-35-11.webp
"ChatGPT Image 19. svi 2026. 16_08_41.png"	chatgpt-image-19-svi-2026-16-08-41	2096806	191626	29864	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-08-41.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-08-41.webp
"ChatGPT Image 18. svi 2026. 21_28_10.png"	chatgpt-image-18-svi-2026-21-28-10	2189157	242466	38370	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-28-10.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-28-10.webp
"ChatGPT Image 20. svi 2026. 17_19_14.png"	chatgpt-image-20-svi-2026-17-19-14	2545825	257876	36744	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-17-19-14.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-17-19-14.webp
"ChatGPT Image 19. svi 2026. 16_00_52.png"	chatgpt-image-19-svi-2026-16-00-52	2239465	259966	41610	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-00-52.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-00-52.webp
"ChatGPT Image 19. svi 2026. 16_58_07.png"	chatgpt-image-19-svi-2026-16-58-07	1999907	222726	36990	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-58-07.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-58-07.webp
"ChatGPT Image 20. svi 2026. 16_41_51.png"	chatgpt-image-20-svi-2026-16-41-51	2289414	256816	41548	1491x1055	1491x1055	520x368	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-41-51.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-41-51.webp
"ChatGPT Image 18. svi 2026. 21_32_38.png"	chatgpt-image-18-svi-2026-21-32-38	2086125	231034	38336	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-32-38.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-32-38.webp
