post_type	ID	post_title	post_name	title_status	description_status
dry_recipe	2507	PALVIKINKKU (DIMLJENA ŠUNKA)	palvikinkku-dimljena-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2508	SAVUPORONLIHA (DIMLJENO SOBOVO MESO)	savuporonliha-dimljeno-sobovo-meso	MISSING_TITLE	MISSING_DESC
dry_recipe	2510	ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT)	ilmakuivattu-poronpaisti-zracno-suseni-sobov-but	MISSING_TITLE	MISSING_DESC
dry_recipe	2511	GRAAVILOHI (GRAVLAX - FINSKI MARINIRANI LOSOS)	graavilohi-gravlax-finski-marinirani-losos	MISSING_TITLE	MISSING_DESC
dry_recipe	2512	ROSETTE DE LYON	rosette-de-lyon	MISSING_TITLE	MISSING_DESC
dry_recipe	2513	LONZO CORSE	lonzo-corse	MISSING_TITLE	MISSING_DESC
dry_recipe	2514	SAUCISSON SEC D'AUVERGNE	saucisson-sec-dauvergne-2	MISSING_TITLE	MISSING_DESC
dry_recipe	2515	Siglino Messinias (Σύγκλινο Μεσσηνίας)	siglino-messinias-%cf%83%cf%8d%ce%b3%ce%ba%ce%bb%ce%b9%ce%bd%ce%bf-%ce%bc%ce%b5%cf%83%cf%83%ce%b7%ce%bd%ce%af%ce%b1%cf%82	MISSING_TITLE	MISSING_DESC
dry_recipe	2516	Tsigarides (Τσιγαρίδες)	tsigarides-%cf%84%cf%83%ce%b9%ce%b3%ce%b1%cf%81%ce%af%ce%b4%ce%b5%cf%82	MISSING_TITLE	MISSING_DESC
dry_recipe	2517	Armatia (Αρματιά)	armatia-%ce%b1%cf%81%ce%bc%ce%b1%cf%84%ce%b9%ce%ac	MISSING_TITLE	MISSING_DESC
dry_recipe	2518	Pihti (Πηχτή)	pihti-%cf%80%ce%b7%cf%87%cf%84%ce%ae	MISSING_TITLE	MISSING_DESC
dry_recipe	2519	Kavourmas (Καβουρμάς)	kavourmas-%ce%ba%ce%b1%ce%b2%ce%bf%cf%85%cf%81%ce%bc%ce%ac%cf%82	MISSING_TITLE	MISSING_DESC
dry_recipe	2520	Pastourmas (Παστουρμάς)	pastourmas-%cf%80%ce%b1%cf%83%cf%84%ce%bf%cf%85%cf%81%ce%bc%ce%ac%cf%82	MISSING_TITLE	MISSING_DESC
dry_recipe	2521	Apaki (Απάκι)	apaki-%ce%b1%cf%80%ce%ac%ce%ba%ce%b9	MISSING_TITLE	MISSING_DESC
dry_recipe	2522	Noumboulo (Νούμπουλο)	noumboulo-%ce%bd%ce%bf%cf%8d%ce%bc%cf%80%ce%bf%cf%85%ce%bb%ce%bf	MISSING_TITLE	MISSING_DESC
dry_recipe	2523	Syglino (Σύγκλινο)	syglino-%cf%83%cf%8d%ce%b3%ce%ba%ce%bb%ce%b9%ce%bd%ce%bf	MISSING_TITLE	MISSING_DESC
dry_recipe	2544	Moldavska Cârnaţi de Oaie (Kobasica od Ovčetine)	moldavska-carnati-de-oaie-kobasica-od-ovcetine	MISSING_TITLE	MISSING_DESC
dry_recipe	2545	Estonska Suitsusink (Dimljena Šunka)	estonska-suitsusink-dimljena-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2546	Sudžuk (Sudžuk Kosovar)	sudzuk-sudzuk-kosovar	MISSING_TITLE	MISSING_DESC
dry_recipe	2547	Pršuta e Kosovës (Kosovska pršuta)	prsuta-e-kosoves-kosovska-prsuta	MISSING_TITLE	MISSING_DESC
dry_recipe	2548	Llokum Kosove (Kosovski delikates)	llokum-kosove-kosovski-delikates	MISSING_TITLE	MISSING_DESC
