ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2530,Irska šunka u pivu (Beer-Cured Ham),irska-sunka-u-pivu-beer-cured-ham,https://drycured.com/recepti-baza/irska-sunka-u-pivu-beer-cured-ham/,200,63,hladna masa; fallback; radni recept,1,1,1
2533,Bjúgu (Islandska dimljena kobasica),bjugu-islandska-dimljena-kobasica,https://drycured.com/recepti-baza/bjugu-islandska-dimljena-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2540,Hrútspungar (Prešana janjeća muda),hrutspungar-presana-janjeca-muda,https://drycured.com/recepti-baza/hrutspungar-presana-janjeca-muda/,200,63,hladna masa; fallback; radni recept,1,1,1
2543,Lundabaggar (Dimljena prskalina od janjetine),lundabaggar-dimljena-prskalina-od-janjetine,https://drycured.com/recepti-baza/lundabaggar-dimljena-prskalina-od-janjetine/,200,63,hladna masa; fallback; radni recept,1,1,1
2544,Moldavska Cârnaţi de Oaie (Kobasica od Ovčetine),moldavska-carnati-de-oaie-kobasica-od-ovcetine,https://drycured.com/recepti-baza/moldavska-carnati-de-oaie-kobasica-od-ovcetine/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2545,Estonska Suitsusink (Dimljena Šunka),estonska-suitsusink-dimljena-sunka,https://drycured.com/recepti-baza/estonska-suitsusink-dimljena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2546,Sudžuk (Sudžuk Kosovar),sudzuk-sudzuk-kosovar,https://drycured.com/recepti-baza/sudzuk-sudzuk-kosovar/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2549,Suxhuk me Spec (Sudžuk s paprikom),suxhuk-me-spec-sudzuk-s-paprikom,https://drycured.com/recepti-baza/suxhuk-me-spec-sudzuk-s-paprikom/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2552,Otočac Začinski Vrat s Planine (Mountainski naresak),otocac-zacinski-vrat-s-planine-mountainski-naresak,https://drycured.com/recepti-baza/otocac-zacinski-vrat-s-planine-mountainski-naresak/,200,5,hladna masa; fallback,1,1,1
2553,Skilandis (litavska dimljena kobasica),skilandis-litavska-dimljena-kobasica,https://drycured.com/recepti-baza/skilandis-litavska-dimljena-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
